timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1540302474132,1184,Home Page,200,OK,Scenario 1 1-5,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33607,916,5,5,https://www.zara.com/,97,0,66
1540302474132,97,Home Page-0,301,Moved Permanently,Scenario 1 1-5,,true,,143,304,5,5,http://zara.com/,97,0,66
1540302474233,891,Home Page-1,302,Moved Temporarily,Scenario 1 1-5,,true,,147,304,5,5,https://zara.com/,891,0,863
1540302475124,192,Home Page-2,200,OK,Scenario 1 1-5,text,true,,33317,308,5,5,https://www.zara.com/,172,0,134
1540302474132,1234,Home Page,200,OK,Scenario 1 1-1,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33607,916,5,5,https://www.zara.com/,97,0,71
1540302474132,97,Home Page-0,301,Moved Permanently,Scenario 1 1-1,,true,,143,304,5,5,http://zara.com/,97,0,71
1540302474233,889,Home Page-1,302,Moved Temporarily,Scenario 1 1-1,,true,,147,304,5,5,https://zara.com/,889,0,862
1540302475122,244,Home Page-2,200,OK,Scenario 1 1-1,text,true,,33317,308,5,5,https://www.zara.com/,214,0,164
1540302474132,1239,Home Page,200,OK,Scenario 1 1-2,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33607,916,5,5,https://www.zara.com/,117,0,82
1540302474132,117,Home Page-0,301,Moved Permanently,Scenario 1 1-2,,true,,143,304,5,5,http://zara.com/,117,0,82
1540302474250,860,Home Page-1,302,Moved Temporarily,Scenario 1 1-2,,true,,147,304,5,5,https://zara.com/,860,0,839
1540302475110,261,Home Page-2,200,OK,Scenario 1 1-2,text,true,,33317,308,5,5,https://www.zara.com/,230,0,176
1540302474132,1397,Home Page,200,OK,Scenario 1 1-4,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33607,916,5,5,https://www.zara.com/,97,0,73
1540302474132,97,Home Page-0,301,Moved Permanently,Scenario 1 1-4,,true,,143,304,5,5,http://zara.com/,97,0,73
1540302474233,1154,Home Page-1,302,Moved Temporarily,Scenario 1 1-4,,true,,147,304,5,5,https://zara.com/,1154,0,871
1540302475388,141,Home Page-2,200,OK,Scenario 1 1-4,text,true,,33317,308,5,5,https://www.zara.com/,117,0,85
1540302474132,1424,Home Page,200,OK,Scenario 1 1-3,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33607,916,5,5,https://www.zara.com/,97,0,66
1540302474132,97,Home Page-0,301,Moved Permanently,Scenario 1 1-3,,true,,143,304,5,5,http://zara.com/,97,0,66
1540302474233,1155,Home Page-1,302,Moved Temporarily,Scenario 1 1-3,,true,,147,304,5,5,https://zara.com/,1155,0,870
1540302475389,167,Home Page-2,200,OK,Scenario 1 1-3,text,true,,33317,308,5,5,https://www.zara.com/,137,0,99
1540302476377,198,Page Returning 404,404,Not Found,Scenario 1 1-5,text,true,,10795,680,5,5,http://www.zara.com/test,52,0,24
1540302476377,52,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-5,,true,,150,338,5,5,http://zara.com/test,52,0,24
1540302476430,145,Page Returning 404-1,404,Not Found,Scenario 1 1-5,text,false,,10645,342,5,5,http://www.zara.com/test,143,0,24
1540302476374,252,Page Returning 404,404,Not Found,Scenario 1 1-2,text,true,,10795,680,5,5,http://www.zara.com/test,56,0,25
1540302476374,56,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-2,,true,,150,338,5,5,http://zara.com/test,56,0,25
1540302476431,195,Page Returning 404-1,404,Not Found,Scenario 1 1-2,text,false,,10645,342,5,5,http://www.zara.com/test,193,0,36
1540302476532,250,Page Returning 404,404,Not Found,Scenario 1 1-4,text,true,,10796,680,5,5,http://www.zara.com/test,49,0,22
1540302476532,49,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-4,,true,,150,338,5,5,http://zara.com/test,49,0,22
1540302476582,200,Page Returning 404-1,404,Not Found,Scenario 1 1-4,text,false,,10646,342,5,5,http://www.zara.com/test,200,0,23
